UserID,clicks_in_last_90_articles,ActivityCentrality,ReceivedNegative,ReceivedPositive,VoteNegative,VotePositive,PostReplied,UserFollowed,GotPostReplied,GotFollowers,PostsAmount,TopicsPostedIn,MostPopularTopicPostsAmount,TopicsDiversity
303149,45.0,22.788844621513945,12.0,182.0,5.0,105.0,21.0,0.0,15.0,0.0,96.0,17.0,40.0,1.1516278584994948
303562,410.0,126.29482071713147,361.0,899.0,975.0,1019.0,264.0,0.0,183.0,0.0,596.0,50.0,157.0,1.0788801088318596
303788,249.0,5.258964143426295,26.0,54.0,2.0,1.0,6.0,2.0,12.0,1.0,26.0,10.0,8.0,1.3840306459807514
304020,368.0,6.852589641434263,1.0,60.0,23.0,26.0,3.0,0.0,0.0,0.0,6.0,4.0,3.0,1.6487212707001282
304183,484.0,92.50996015936255,221.0,969.0,147.0,271.0,194.0,3.0,123.0,0.0,486.0,41.0,59.0,1.222514088605041
304221,53.0,65.2589641434263,114.0,562.0,50.0,233.0,86.0,1.0,87.0,0.0,239.0,41.0,24.0,1.2749235026154688
304274,132.0,41.51394422310757,117.0,473.0,9.0,68.0,20.0,2.0,57.0,0.0,148.0,40.0,41.0,1.0944411880297085
304814,261.0,13.306772908366534,11.0,137.0,16.0,16.0,4.0,0.0,19.0,0.0,40.0,19.0,8.0,1.3010321288603353
305873,476.0,8.685258964143426,9.0,40.0,17.0,68.0,2.0,0.0,8.0,0.0,12.0,7.0,3.0,1.770794952435155
306455,549.0,71.39442231075698,60.0,588.0,32.0,335.0,96.0,0.0,51.0,0.0,216.0,34.0,42.0,1.163299663063113
307034,119.0,17.928286852589643,20.0,147.0,93.0,96.0,17.0,0.0,19.0,0.0,40.0,8.0,23.0,1.2428303319121348
307359,381.0,23.187250996015937,24.0,235.0,5.0,41.0,19.0,0.0,24.0,0.0,68.0,14.0,22.0,1.2470480778662008
307634,202.0,3.1872509960159365,7.0,4.0,4.0,34.0,0.0,2.0,1.0,0.0,5.0,4.0,2.0,1.8682459574322223
308777,66.0,20.39840637450199,11.0,68.0,87.0,204.0,4.0,0.0,9.0,0.0,21.0,7.0,13.0,1.2595685362456337
309150,311.0,134.26294820717132,249.0,1783.0,41.0,331.0,116.0,0.0,220.0,0.0,510.0,43.0,86.0,1.147874974886175
309377,456.0,17.37051792828685,14.0,155.0,22.0,47.0,30.0,0.0,19.0,1.0,76.0,21.0,18.0,1.2226959319496074
309385,555.0,437.4501992031873,682.0,4270.0,1746.0,14790.0,472.0,10.0,446.0,6.0,1404.0,68.0,214.0,1.101289298828655
309821,176.0,24.940239043824704,31.0,253.0,10.0,38.0,28.0,0.0,30.0,0.0,89.0,28.0,10.0,1.3741799357852513
309888,308.0,8.446215139442232,8.0,89.0,3.0,2.0,14.0,0.0,14.0,0.0,32.0,13.0,8.0,1.3602823761150602
310395,314.0,121.03585657370517,19.0,89.0,220.0,2158.0,47.0,0.0,13.0,0.0,123.0,32.0,14.0,1.3159430691309524
310553,195.0,52.98804780876494,136.0,632.0,78.0,135.0,24.0,0.0,67.0,0.0,112.0,34.0,29.0,1.120293006111204
310940,316.0,128.36653386454182,81.0,921.0,257.0,1113.0,75.0,0.0,61.0,1.0,229.0,32.0,53.0,1.1445637784617237
311744,71.0,140.0,426.0,1984.0,181.0,440.0,398.0,0.0,247.0,4.0,1130.0,15.0,651.0,1.1226808104809254
313287,300.0,94.66135458167331,80.0,717.0,82.0,634.0,32.0,2.0,40.0,1.0,125.0,31.0,27.0,1.1610710420946624
313690,53.0,64.22310756972112,238.0,952.0,169.0,481.0,173.0,0.0,126.0,0.0,540.0,44.0,137.0,1.0937169607244817
314295,497.0,14.342629482071713,16.0,33.0,24.0,149.0,3.0,0.0,13.0,0.0,35.0,20.0,4.0,1.5488302986341331
316018,38.0,3.3466135458167328,2.0,41.0,0.0,0.0,1.0,0.0,3.0,4.0,7.0,2.0,5.0,2.0137527074704766
316843,26.0,31.553784860557773,49.0,93.0,4.0,339.0,9.0,0.0,22.0,0.0,54.0,14.0,18.0,1.238976597541378
316968,391.0,153.70517928286853,91.0,1317.0,53.0,1029.0,138.0,3.0,150.0,0.0,496.0,60.0,136.0,1.0626696862017675
317646,151.0,18.247011952191237,18.0,159.0,7.0,58.0,24.0,0.0,18.0,0.0,58.0,20.0,17.0,1.1860022945784603
317888,160.0,10.119521912350598,11.0,13.0,2.0,116.0,4.0,0.0,2.0,0.0,15.0,10.0,3.0,1.6487212707001282
317937,412.0,259.28286852589645,806.0,4033.0,700.0,2547.0,579.0,5.0,448.0,4.0,1505.0,42.0,1011.0,1.0360790617176387
